rarmy.Mecha4 1.0,gh.micro.GrubbmThree 0.9k,18217,9711.0
rarmy.Mecha4 1.0,cx.CigaretBH 1.03,4870,2889.0
rarmy.Mecha4 1.0,axeBots.Musashi 2.11,10277,5709.0
rarmy.Mecha4 1.0,mld.DustBunny 3.1b,5722,2930.0
rarmy.Mecha4 1.0,pez.rumble.CassiusClay 2rho.02no,1160,1024.0
rarmy.Mecha4 1.0,rarmy.Mecha3 3.2,11270,4782.0
rarmy.Mecha4 1.0,pez.micro.Aristocles 0.3.7,5693,3467.0
rarmy.Mecha4 1.0,pez.mini.Pugilist 2.5,2361,1812.0
rarmy.Mecha4 1.0,kawigi.sbf.FloodMini 1.4,2804,2179.0
rarmy.Mecha4 1.0,gh.micro.GrubbmThree 0.9k,18187,9183.0
rarmy.Mecha4 1.0,cx.CigaretBH 1.03,5287,3275.0
rarmy.Mecha4 1.0,axeBots.Musashi 2.11,10593,5825.0
rarmy.Mecha4 1.0,mld.DustBunny 3.1b,6467,3004.0
rarmy.Mecha4 1.0,pez.rumble.CassiusClay 2rho.02no,1185,1119.0
rarmy.Mecha4 1.0,rarmy.Mecha3 3.2,11274,4783.0
rarmy.Mecha4 1.0,pez.micro.Aristocles 0.3.7,5239,3492.0
rarmy.Mecha4 1.0,pez.mini.Pugilist 2.5,2585,2048.0
rarmy.Mecha4 1.0,kawigi.sbf.FloodMini 1.4,2807,2455.0
rarmy.Mecha4 1.0,gh.micro.GrubbmThree 0.9k,18047,9611.0
rarmy.Mecha4 1.0,cx.CigaretBH 1.03,6697,3399.0
rarmy.Mecha4 1.0,axeBots.Musashi 2.11,8549,5116.0
rarmy.Mecha4 1.0,mld.DustBunny 3.1b,5974,3092.0
rarmy.Mecha4 1.0,pez.rumble.CassiusClay 2rho.02no,1328,1126.0
rarmy.Mecha4 1.0,rarmy.Mecha3 3.2,11067,4676.0
rarmy.Mecha4 1.0,pez.micro.Aristocles 0.3.7,4829,3077.0
rarmy.Mecha4 1.0,pez.mini.Pugilist 2.5,2582,2036.0
rarmy.Mecha4 1.0,kawigi.sbf.FloodMini 1.4,3305,2471.0
rarmy.Mecha3 3.2,gh.micro.GrubbmThree 0.9k,12113,7457.0
rarmy.Mecha3 3.2,cx.CigaretBH 1.03,3622,2471.0
rarmy.Mecha3 3.2,axeBots.Musashi 2.11,4990,3122.0
rarmy.Mecha3 3.2,mld.DustBunny 3.1b,8982,4367.0
rarmy.Mecha3 3.2,pez.rumble.CassiusClay 2rho.02no,1461,1258.0
rarmy.Mecha3 3.2,rarmy.Mecha3 3.2 (2),0,0.0
rarmy.Mecha3 3.2,pez.micro.Aristocles 0.3.7,4313,2924.0
rarmy.Mecha3 3.2,pez.mini.Pugilist 2.5,1217,1091.0
rarmy.Mecha3 3.2,kawigi.sbf.FloodMini 1.4,5795,3048.0
